manufacturer,mold_name,scale,release_year_start
Breyer,American Quarter Horse Mare,Classic (1:12),2005
Breyer,American Quarter Horse Stallion,Classic (1:12),2005
Breyer,American Saddlebred,Classic (1:12),2018
Breyer,Andalusian,Classic (1:12),2024
Breyer,Andalusian Foal,Classic (1:12),1979
Breyer,Andalusian Mare,Classic (1:12),1979
Breyer,Andalusian Stallion,Classic (1:12),1979
Breyer,Arabian,Classic (1:12),2023
Breyer,Arabian Foal,Classic (1:12),1973
Breyer,Arabian Mare,Classic (1:12),1973
Breyer,Arabian Stallion,Classic (1:12),1973
Breyer,Black Beauty,Classic (1:12),1980
Breyer,Black Stallion,Classic (1:12),1983
Breyer,Bucking Bronco,Classic (1:12),1961
Breyer,Cantering Foal,Classic (1:12),2026
Breyer,Charging Mesteño,Classic (1:12),1995
Breyer,Craft Kit Horse,Classic (1:12),2001
Breyer,Cutting Horse,Classic (1:12),1997
Breyer,Duchess,Classic (1:12),1980
Breyer,Fairfax,Classic (1:12),2020
Breyer,Fighting Mesteño,Classic (1:12),1994
Breyer,Foal,Classic (1:12),2005
Breyer,Ginger,Classic (1:12),1980
Breyer,Haflinger Foal,Classic (1:12),2011
Breyer,Haflinger Mare,Classic (1:12),2011
Breyer,Harper,Classic (1:12),2016
Breyer,Hobo,Classic (1:12),1975
Breyer,Hollywood Dun It,Classic (1:12),1998
Breyer,Jet Run,Classic (1:12),1980
Breyer,Johar,Classic (1:12),1983
Breyer,Keen,Classic (1:12),1980
Breyer,Kelso,Classic (1:12),1975
Breyer,Lipizzan Stallion,Classic (1:12),1975
Breyer,Malik,Classic (1:12),2019
Breyer,Man O' War,Classic (1:12),1975
Breyer,Mariah,Classic (1:12),2012
Breyer,Merrylegs,Classic (1:12),1980
Breyer,Mesteño,Classic (1:12),1992
Breyer,Mesteño the Foal,Classic (1:12),1993
Breyer,Mesteño's Mother,Classic (1:12),1993
Breyer,Might Tango,Classic (1:12),1980
Breyer,Morgan,Classic (1:12),2007
Breyer,Morgan Mare,Classic (1:12),2007
Breyer,Morgan Stallion,Classic (1:12),2007
Breyer,Mustang Foal,Classic (1:12),1976
Breyer,Mustang Mare,Classic (1:12),1976
Breyer,Mustang Stallion,Classic (1:12),1976
Breyer,Paint Kit Horse,Classic (1:12),2015
Breyer,Pegasus,Classic (1:12),1984
Breyer,Playful Arabian Foal,Classic (1:12),2024
Breyer,Polo Pony,Classic (1:12),1976
Breyer,Prancing Arabian Mare,Classic (1:12),2024
Breyer,Quarter Horse,Classic (1:12),2023
Breyer,Quarter Horse Foal,Classic (1:12),1974
Breyer,Quarter Horse Mare,Classic (1:12),1974
Breyer,Quarter Horse Stallion,Classic (1:12),1974
Breyer,Rearing Mustang,Classic (1:12),2019
Breyer,Rearing Stallion,Classic (1:12),1965
Breyer,Reflections Mesteño,Classic (1:12),1996
Breyer,Rojo,Classic (1:12),1995
Breyer,Ruffian,Classic (1:12),1977
Breyer,Running Thoroughbred,Classic (1:12),2017
Breyer,Sagr,Classic (1:12),1983
Breyer,Scamper,Classic (1:12),1998
Breyer,Shire,Classic (1:12),2002
Breyer,Shire B,Classic (1:12),2003
Breyer,Show Arabian,Classic (1:12),2008
Breyer,Show Stock Horse,Classic (1:12),2008
Breyer,Silky Sullivan,Classic (1:12),1975
Breyer,Sombra,Classic (1:12),1994
Breyer,Standing Foal,Classic (1:12),2026
Breyer,Standing Thoroughbred,Classic (1:12),2006
Breyer,Stock Horse Gelding,Classic (1:12),2002
Breyer,Swaps,Classic (1:12),1975
Breyer,Terrang,Classic (1:12),1975
Breyer,Thoroughbred,Classic (1:12),2021
Breyer,Trotting Stock Horse,Classic (1:12),2008
Breyer,Vanner,Classic (1:12),2024
Breyer,Wahoo King,Classic (1:12),2000
Breyer,Walking Draft Horse,Classic (1:12),2019
Breyer,Warmblood Foal,Classic (1:12),2008
Breyer,Warmblood Mare,Classic (1:12),2007
Breyer,Warmblood Stallion,Classic (1:12),2008
Breyer,American Saddlebred,Paddock Pals (1:24),1985
Breyer,Arabian Stallion,Paddock Pals (1:24),1983
Breyer,Clydesdale,Paddock Pals (1:24),1984
Breyer,Morgan Stallion,Paddock Pals (1:24),1983
Breyer,Quarter Horse Stallion,Paddock Pals (1:24),1983
Breyer,Thoroughbred Stallion,Paddock Pals (1:24),1983
Breyer,Unicorn,Paddock Pals (1:24),1984
Breyer,Akilah,Stablemate (1:32),2023
Breyer,Alborozo,Stablemate (1:32),2018
Breyer,American Saddlebred,Stablemate (1:32),1998
Breyer,Andalusian,Stablemate (1:32),1998
Breyer,Andalusian Stallion,Stablemate (1:32),2013
Breyer,Appaloosa,Stablemate (1:32),1998
Breyer,Arabian,Stablemate (1:32),2010
Breyer,Arabian - Rearing,Stablemate (1:32),1998
Breyer,Arabian - Walking,Stablemate (1:32),2006
Breyer,Arabian Mare,Stablemate (1:32),1975
Breyer,Arabian Stallion,Stablemate (1:32),1975
Breyer,Augustus,Stablemate (1:32),2024
Breyer,Belgian,Stablemate (1:32),2006
Breyer,Brio,Stablemate (1:32),2023
Breyer,Bucking Horse,Stablemate (1:32),2026
Breyer,Cantering Foal,Stablemate (1:32),2000
Breyer,Cantering Morgan,Stablemate (1:32),2019
Breyer,Cantering Stock Horse,Stablemate (1:32),2007
Breyer,Cantering Warmblood,Stablemate (1:32),2006
Breyer,Citation,Stablemate (1:32),1975
Breyer,Clydesdale,Stablemate (1:32),1998
Breyer,Clydesdale Stallion,Stablemate (1:32),2020
Breyer,Cob,Stablemate (1:32),2016
Breyer,Connemara Mare,Stablemate (1:32),2020
Breyer,Donkey,Stablemate (1:32),2009
Breyer,Draft Horse,Stablemate (1:32),1976
Breyer,Drafter,Stablemate (1:32),2010
Breyer,Fell Pony,Stablemate (1:32),2020
Breyer,Fighting Stallion,Stablemate (1:32),2020
Breyer,Fireheart,Stablemate (1:32),2021
Breyer,Friesian,Stablemate (1:32),2006
Breyer,Frisky Foal,Stablemate (1:32),2020
Breyer,Galloping Arabian Stallion,Stablemate (1:32),2018
Breyer,Giorgio,Stablemate (1:32),2022
Breyer,Grazing Mare,Stablemate (1:32),2025
Breyer,Gypsy Vanner,Stablemate (1:32),2017
Breyer,Hands Down,Stablemate (1:32),2005
Breyer,Hanoverian,Stablemate (1:32),2010
Breyer,Highland Pony,Stablemate (1:32),2006
Breyer,Horatio,Stablemate (1:32),2023
Breyer,Icelandic Horse,Stablemate (1:32),2013
Breyer,Indian Pony,Stablemate (1:32),2020
Breyer,Irish Draft,Stablemate (1:32),2019
Breyer,Kit,Stablemate (1:32),2022
Breyer,Lipizzaner,Stablemate (1:32),2018
Breyer,Loping Quarter Horse,Stablemate (1:32),2013
Breyer,Lying Down Mare,Stablemate (1:32),2024
Breyer,Lying Foal,Stablemate (1:32),2007
Breyer,Magnolia,Stablemate (1:32),2018
Breyer,Mirado,Stablemate (1:32),2017
Breyer,Missouri Fox Trotter,Stablemate (1:32),2020
Breyer,Morgan,Stablemate (1:32),1998
Breyer,Morgan Mare,Stablemate (1:32),1976
Breyer,Morgan Stallion,Stablemate (1:32),1975
Breyer,Mule,Stablemate (1:32),1998
Breyer,Mustang,Stablemate (1:32),2006
Breyer,Native Dancer,Stablemate (1:32),1975
Breyer,Norwegian Fjord Stallion,Stablemate (1:32),2020
Breyer,Paso Fino,Stablemate (1:32),1998
Breyer,Peruvian Paso,Stablemate (1:32),2006
Breyer,Playful Foal,Stablemate (1:32),2020
Breyer,Prince Charming,Stablemate (1:32),2020
Breyer,Proud Arabian Mare,Stablemate (1:32),2025
Breyer,Quarter Horse,Stablemate (1:32),2010
Breyer,Quarter Horse Mare,Stablemate (1:32),1975
Breyer,Quarter Horse Stallion,Stablemate (1:32),1975
Breyer,Rearing,Stablemate (1:32),2006
Breyer,Reining,Stablemate (1:32),2010
Breyer,Rivet,Stablemate (1:32),2013
Breyer,Running Mare,Stablemate (1:32),2002
Breyer,Saddlebred,Stablemate (1:32),1975
Breyer,Scrambling Foal,Stablemate (1:32),2000
Breyer,Scratching Foal,Stablemate (1:32),2000
Breyer,Seabiscuit,Stablemate (1:32),1976
Breyer,Semi-Rearing Mustang,Stablemate (1:32),2025
Breyer,Shetland Pony,Stablemate (1:32),1998
Breyer,Silky Sullivan,Stablemate (1:32),1976
Breyer,Smart Chic Olena,Stablemate (1:32),2020
Breyer,Standardbred,Stablemate (1:32),1998
Breyer,Standing Foal,Stablemate (1:32),2006
Breyer,Standing Friesian,Stablemate (1:32),2016
Breyer,Standing Stock Horse,Stablemate (1:32),2006
Breyer,Standing Thoroughbred,Stablemate (1:32),2006
Breyer,Stock Horse Mare,Stablemate (1:32),2020
Breyer,Swaps,Stablemate (1:32),1976
Breyer,Tennessee Walking Horse,Stablemate (1:32),2006
Breyer,Thoroughbred,Stablemate (1:32),1998
Breyer,Thoroughbred Lying Foal,Stablemate (1:32),1975
Breyer,Thoroughbred Mare,Stablemate (1:32),1976
Breyer,Thoroughbred Standing Foal,Stablemate (1:32),1975
Breyer,Trotting Foal,Stablemate (1:32),2000
Breyer,Trotting Warmblood,Stablemate (1:32),2010
Breyer,Twist,Stablemate (1:32),2022
Breyer,Valegro,Stablemate (1:32),2016
Breyer,Walking Thoroughbred,Stablemate (1:32),2019
Breyer,Warmblood,Stablemate (1:32),1998
Breyer,Warmblood Mare,Stablemate (1:32),2019
Breyer,Action Stock Horse Foal,Traditional (1:9),1984
Breyer,Adios,Traditional (1:9),1969
Breyer,Akhal-Teke,Traditional (1:9),2020
Breyer,Alborozo,Traditional (1:9),2008
Breyer,Amazigh Stallion,Traditional (1:9),2022
Breyer,Amber,Traditional (1:9),1997
Breyer,American Saddlebred Stallion,Traditional (1:9),2000
Breyer,Andalusian Foal,Traditional (1:9),2015
Breyer,Andalusian Mare,Traditional (1:9),2015
Breyer,Andalusian Stallion,Traditional (1:9),2004
Breyer,Appaloosa Performance Horse,Traditional (1:9),1974
Breyer,Arabian Mare,Traditional (1:9),2009
Breyer,Aristocrat Champion Hackney,Traditional (1:9),1995
Breyer,Ashley,Traditional (1:9),1997
Breyer,Ashquar,Traditional (1:9),2013
Breyer,Australian Stock Horse,Traditional (1:9),2018
Breyer,Balking Mule,Traditional (1:9),1968
Breyer,Belgian,Traditional (1:9),1964
Breyer,Big Ben,Traditional (1:9),1997
Breyer,Black Beauty,Traditional (1:9),1979
Breyer,Black Stallion,Traditional (1:9),1981
Breyer,Bluegrass Bandit,Traditional (1:9),2008
Breyer,Bolya,Traditional (1:9),1992
Breyer,Boomerang,Traditional (1:9),2017
Breyer,Bouncer,Traditional (1:9),2007
Breyer,Brighty,Traditional (1:9),1974
Breyer,Bristol,Traditional (1:9),2018
Breyer,British Riding Pony Mare,Traditional (1:9),2025
Breyer,Brown Sunshine,Traditional (1:9),1996
Breyer,Buckshot,Traditional (1:9),1985
Breyer,Cantering Mustang Mare,Traditional (1:9),2024
Breyer,Cantering Warmblood,Traditional (1:9),2017
Breyer,Cantering Welsh Cob,Traditional (1:9),2024
Breyer,Cantering Welsh Pony,Traditional (1:9),1971
Breyer,Cigar,Traditional (1:9),1998
Breyer,Cleveland Bay,Traditional (1:9),2006
Breyer,Clydesdale Foal,Traditional (1:9),1969
Breyer,Clydesdale Mare,Traditional (1:9),1969
Breyer,Clydesdale Stallion,Traditional (1:9),1958
Breyer,Connemara Mare,Traditional (1:9),2014
Breyer,Criollo Stallion,Traditional (1:9),2024
Breyer,Desatado,Traditional (1:9),2012
Breyer,Donkey,Traditional (1:9),1958
Breyer,El Pastor,Traditional (1:9),1974
Breyer,Esprit,Traditional (1:9),2010
Breyer,Ethereal,Traditional (1:9),2006
Breyer,Family Arabian Foal,Traditional (1:9),1960
Breyer,Family Arabian Mare,Traditional (1:9),1961
Breyer,Family Arabian Stallion,Traditional (1:9),1959
Breyer,Fell Pony,Traditional (1:9),2015
Breyer,Fighting Stallion,Traditional (1:9),1961
Breyer,Five Gaiter,Traditional (1:9),1962
Breyer,Fjord,Traditional (1:9),1996
Breyer,Flash,Traditional (1:9),2004
Breyer,Foal,Traditional (1:9),1973
Breyer,Foundation Stallion,Traditional (1:9),1977
Breyer,Friesian,Traditional (1:9),1992
Breyer,Friesian Sporthorse,Traditional (1:9),2020
Breyer,Fury Prancer,Traditional (1:9),1955
Breyer,Galiceño,Traditional (1:9),1978
Breyer,Gaming Stock Horse,Traditional (1:9),2014
Breyer,Gem Twist,Traditional (1:9),1993
Breyer,Georg,Traditional (1:9),2019
Breyer,Georgina,Traditional (1:9),2026
Breyer,German Riding Pony,Traditional (1:9),2022
Breyer,Geronimo,Traditional (1:9),2016
Breyer,Gilen,Traditional (1:9),2009
Breyer,Giselle,Traditional (1:9),2008
Breyer,Goffert,Traditional (1:9),2005
Breyer,Grazing Foal,Traditional (1:9),1964
Breyer,Grazing Mare,Traditional (1:9),1961
Breyer,Gypsy Vanner,Traditional (1:9),2012
Breyer,Haflinger,Traditional (1:9),1979
Breyer,Halla,Traditional (1:9),1977
Breyer,Hanoverian,Traditional (1:9),1980
Breyer,Highland Pony Stallion,Traditional (1:9),2025
Breyer,Huckleberry Bey,Traditional (1:9),1999
Breyer,Icelandic,Traditional (1:9),2014
Breyer,Ideal American Quarter Horse,Traditional (1:9),1995
Breyer,In-Between Mare,Traditional (1:9),1959
Breyer,Indian Pony,Traditional (1:9),1970
Breyer,John Henry,Traditional (1:9),1988
Breyer,Jumping Horse,Traditional (1:9),1965
Breyer,Justin Morgan,Traditional (1:9),1973
Breyer,Kennebec Count,Traditional (1:9),2005
Breyer,Khemosabi,Traditional (1:9),1990
Breyer,Lady Phase,Traditional (1:9),1976
Breyer,Lady Roxana,Traditional (1:9),1986
Breyer,Le Fire,Traditional (1:9),2002
Breyer,Legionario III,Traditional (1:9),1979
Breyer,Lipizzaner Foal,Traditional (1:9),2017
Breyer,Lipizzaner Mare,Traditional (1:9),2017
Breyer,Llanarth True Briton,Traditional (1:9),1994
Breyer,Lonesome Glory,Traditional (1:9),2000
Breyer,Loping Quarter Horse,Traditional (1:9),2013
Breyer,Lying Down Foal,Traditional (1:9),1969
Breyer,Man O' War,Traditional (1:9),1967
Breyer,Mangalarga Marchador,Traditional (1:9),2016
Breyer,Marabella,Traditional (1:9),1997
Breyer,Marwa,Traditional (1:9),2012
Breyer,Midnight Tango,Traditional (1:9),2000
Breyer,Missouri Fox Trotter,Traditional (1:9),1997
Breyer,Misty,Traditional (1:9),1972
Breyer,Misty's Twilight,Traditional (1:9),1991
Breyer,Molly Mule,Traditional (1:9),2025
Breyer,Morgan,Traditional (1:9),1963
Breyer,Morgan Stallion,Traditional (1:9),2020
Breyer,Morganglanz,Traditional (1:9),1980
Breyer,Murgese Stallion,Traditional (1:9),2025
Breyer,Mustang Foal,Traditional (1:9),2024
Breyer,Mustang Mare,Traditional (1:9),2015
Breyer,Mustang Stallion,Traditional (1:9),2021
Breyer,National Show Horse,Traditional (1:9),1998
Breyer,Newsworthy,Traditional (1:9),2008
Breyer,Nokota,Traditional (1:9),2007
Breyer,Norwegian Fjord Mare,Traditional (1:9),2021
Breyer,Old Timer,Traditional (1:9),1966
Breyer,Othello,Traditional (1:9),1999
Breyer,Pacer,Traditional (1:9),1967
Breyer,Paso Fino,Traditional (1:9),2023
Breyer,Peruvian Paso,Traditional (1:9),2002
Breyer,Phantom Wings,Traditional (1:9),1978
Breyer,Phar Lap,Traditional (1:9),1985
Breyer,pizzaner Stallion,Traditional (1:9),2023
Breyer,Pluto,Traditional (1:9),1991
Breyer,Pony,Traditional (1:9),2026
Breyer,Pony of the Americas,Traditional (1:9),1976
Breyer,Proud Arabian Foal,Traditional (1:9),1956
Breyer,Proud Arabian Mare,Traditional (1:9),1958
Breyer,Proud Arabian Stallion,Traditional (1:9),1971
Breyer,Quarter Horse Gelding,Traditional (1:9),1959
Breyer,Quarter Horse Yearling,Traditional (1:9),1970
Breyer,Race Horse,Traditional (1:9),1954
Breyer,Racking Saddlebred Stallion,Traditional (1:9),2019
Breyer,Rain,Traditional (1:9),2002
Breyer,Ranch Horse,Traditional (1:9),1999
Breyer,Rearing Mare,Traditional (1:9),2026
Breyer,Roemer,Traditional (1:9),1990
Breyer,Roxy,Traditional (1:9),2009
Breyer,Roy the Belgian,Traditional (1:9),1989
Breyer,Ruffian,Traditional (1:9),2006
Breyer,Rugged Lark,Traditional (1:9),1989
Breyer,Running Foal,Traditional (1:9),1963
Breyer,Running Mare,Traditional (1:9),1961
Breyer,Running Stallion,Traditional (1:9),1968
Breyer,Saddlebred Weanling,Traditional (1:9),1973
Breyer,Salinero,Traditional (1:9),2007
Breyer,San Domingo,Traditional (1:9),1978
Breyer,Scratching Foal,Traditional (1:9),1970
Breyer,Sea Star,Traditional (1:9),1980
Breyer,Secretariat,Traditional (1:9),1987
Breyer,Semi-Rearing Mustang,Traditional (1:9),1961
Breyer,Shagya Arabian,Traditional (1:9),2016
Breyer,Sham,Traditional (1:9),1984
Breyer,Sherman Morgan,Traditional (1:9),1987
Breyer,Shetland Pony,Traditional (1:9),1960
Breyer,Shire,Traditional (1:9),1972
Breyer,Shire Gelding,Traditional (1:9),2016
Breyer,Show Jumper,Traditional (1:9),2003
Breyer,Show Stance Arabian Mare,Traditional (1:9),2022
Breyer,Silver,Traditional (1:9),2001
Breyer,Smart Chic Olena,Traditional (1:9),2005
Breyer,Smarty Jones,Traditional (1:9),2004
Breyer,Smoky,Traditional (1:9),1981
Breyer,Spanish Stallion,Traditional (1:9),2017
Breyer,Spirit,Traditional (1:9),2002
Breyer,Sport-Pony Fjord,Traditional (1:9),2022
Breyer,Standardbred Mare,Traditional (1:9),2022
Breyer,Standing Quarter Horse Mare,Traditional (1:9),2021
Breyer,Standing Thoroughbred,Traditional (1:9),2018
Breyer,Stock Horse Foal,Traditional (1:9),1983
Breyer,Stock Horse Mare,Traditional (1:9),1982
Breyer,Stock Horse Stallion,Traditional (1:9),1981
Breyer,Stormy,Traditional (1:9),1977
Breyer,Strapless,Traditional (1:9),2003
Breyer,Stud Spider,Traditional (1:9),1978
Breyer,Susecion,Traditional (1:9),2002
Breyer,Tennessee Walking Horse,Traditional (1:9),1972
Breyer,Thoroughbred Mare,Traditional (1:9),1973
Breyer,Totilas,Traditional (1:9),2013
Breyer,Touch of Class,Traditional (1:9),1986
Breyer,Trakehner,Traditional (1:9),1979
Breyer,Trotting Arabian Mare,Traditional (1:9),2011
Breyer,Trotting Donkey,Traditional (1:9),2026
Breyer,Valegro,Traditional (1:9),2015
Breyer,Vanner Foal,Traditional (1:9),2023
Breyer,Vanner Mare,Traditional (1:9),2023
Breyer,Walking Quarter Horse Foal,Traditional (1:9),2021
Breyer,Walking Thoroughbred,Traditional (1:9),2013
Breyer,Warmblood Stallion,Traditional (1:9),2009
Breyer,Welsh Foal,Traditional (1:9),2019
Breyer,Welsh Mare,Traditional (1:9),2019
Breyer,Western Horse,Traditional (1:9),1950
Breyer,Western Pony,Traditional (1:9),1953
Breyer,Western Prancing Horse,Traditional (1:9),1961
Breyer,Wixom,Traditional (1:9),2001
Breyer,Working Cow Horse,Traditional (1:9),2015
Breyer,Zebra,Traditional (1:9),2000
Breyer,Zippo Pine Bar,Traditional (1:9),1999
